Investor,Type,Check Size,Stage Focus,Sector Focus,Leads Rounds,Lead History,Relationship,Status,Fund Status,Portfolio,Contact,Notes,Next Step,Owner
Meridian Life Sciences Partners,Venture Fund,$4M-$8M,"Series A, Series B","diagnostics, medical devices, clinical tools",Yes,Led Cardiosense Series A 2025; co-led Nomad Bio Series B 2024,Warm intro available via Dr Alina Reyes -> Prof. Sandra Ku -> Partner,Intro made,"Fund IV closed 2025, actively deploying","Cardiosense, Nomad Bio, Steadyline Health","Priya Raman, Partner",Diagnostics thesis published on their site. Wants pivotal study design reviewed.,Schedule partner meeting,CEO
Sequoia Crest Capital,Venture Fund,$5M-$15M,"Series B, Series C","healthcare services, digital health",Yes,,Cold,Cold,"Fund VII 2024, active",Participated in Inflammatix Series C,,Big name. Participated in the Inflammatix round but did not lead it. Enters at Series B.,,
Northlight Diagnostics Fund,Micro VC,$1.5M-$3M,"Seed, Series A","diagnostics, sepsis, hospital point of care",Yes,Led Vessl Dx Series A 2025 and took a board seat; led Coriolis Seed 2024,First meeting completed,Partner meeting,"Fund II 2025, actively deploying","Vessl Dx, Coriolis, Amberline Health","Ben Okafor, Managing Partner",Specialist diagnostics fund. Prefers to lead at Series A. Asked for the health economics model.,Send health economics model,CEO
Grandview Strategic Ventures,Corporate / CVC,$1M-$3M,"Series A, Series B","hospital diagnostics, laboratory automation",No - follows a financial lead,,Active diligence,Diligence,"Corporate balance sheet, active","Labtrace, Sentinel Analytics","Maria Alvarez, Head of Ventures",Strategic arm of an analyser manufacturer. Needs a financial lead in place. Distribution conversation running in parallel.,,
Harbourstone Ventures,Venture Fund,$2M-$4M,Series A,"medtech, diagnostics",Sometimes,Co-led Pulsewave Series A 2023,Second meeting,Follow-up,"Between funds - Fund III raising, no dry powder until 2027","Pulsewave, Trellis Medical","James Wu, Principal",Interested but between funds; cannot make new investments this year.,,
Cobalt Ridge Capital,Venture Fund,$1M-$2M,Series A,"diagnostics, molecular testing",No,,Intro made,First meeting,"Fund III 2024, active","Inflammatix, Verity Molecular","Dana Feld, Partner","Portfolio includes Inflammatix, a direct competitor named in our deck. Would need conflict cleared before sharing clinical data.",,
Longview Family Office,Family Office,$500k-$1.5M,"Seed, Series A",healthcare,No,,Committed,Committed,"Evergreen, active",Helios Diagnostics,Robert Lang,Existing investor. $1.5M committed to this round. Will follow the lead terms.,,
Bay Angels Collective,Angel Group,$150k-$400k,"Seed, Series A","healthcare, life sciences",No,,Verbal interest,Verbal,Active,,Screening committee,Wants a priced round with a named lead before syndicating to members.,,
Ironwood Capital Partners,Venture Fund,$3M-$6M,"Series B, Series C","enterprise software, fintech",Yes,Led Streamforge Series B 2025,Cold,Cold,"Fund V 2023, active","Streamforge, Datawing",,"Software focus, no life sciences investments identified.",,
Kestrel Seed Partners,Micro VC,$250k-$750k,"Pre-Seed, Seed",life sciences tools,Yes,Led Helios Diagnostics Seed 2024,Committed,Committed,"Fund II 2023, active","Helios Diagnostics, Nexafold",Sara Bright,"Existing seed investor, $2M committed to this round. Cannot lead at Series A size.",,
Pinnacle Health Ventures,Venture Fund,,Series A,diagnostics,,,Cold,Cold,,,,Suggested by an adviser; nothing verified yet.,,
